year,method,title,venue,task,causal_idea,paper_url,code_url,code_status,datasets,notes
2026,CGT,Causally-Constrained Probabilistic Forecasting for Time-Series Anomaly Detection,arXiv,Anomaly detection and root-cause attribution,Time-lagged causal graph masks a probabilistic forecasting model,https://arxiv.org/abs/2604.17998,https://github.com/p-khn/CGT-V1,Official,ASD; SMD,Recent preprint; verify later venue updates
2025,AERCA,Root Cause Analysis of Anomalies in Multivariate Time Series through Granger Causal Discovery,ICLR,Anomaly detection and root-cause analysis,Joint Granger causal discovery and intervention-based root-cause scoring,https://openreview.net/forum?id=k38Th3x4d9,https://github.com/hanxiao0607/AERCA,Official,Synthetic; SWaT; WADI; SMD and others,ICLR 2025 Oral
2025,CAROTS,Causality-Aware Contrastive Learning for Robust Multivariate Time-Series Anomaly Detection,ICML,Multivariate time-series anomaly detection,Causality-aware contrastive representation learning,https://arxiv.org/abs/2506.03964,https://github.com/kimanki/CAROTS,Official,Standard MTS anomaly-detection benchmarks,ICML 2025
2025,CGAD,Entropy Causal Graphs for Multivariate Time Series Anomaly Detection,ACM TIST,Multivariate time-series anomaly detection,Transfer-entropy causal graph with graph and temporal convolutions,https://arxiv.org/abs/2312.09478,https://github.com/falihgoz/CGAD,Official,SMD and other public MTS benchmarks,Journal publication followed the 2023 preprint
2025,RCAEval,RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data,The Web Conference,Benchmarking anomaly diagnosis and root-cause analysis,Includes reproducible causal and graph-based RCA baselines,https://arxiv.org/abs/2412.17015,https://github.com/phamquiluan/RCAEval,Official,Microservice metrics; logs; traces,Useful benchmark rather than a single detector
2024,RUN,Root Cause Analysis in Microservice Using Neural Granger Causal Discovery,AAAI,Time-series root-cause analysis,Contrastive temporal encoder plus neural Granger discovery and personalized PageRank,https://arxiv.org/abs/2402.01140,https://github.com/zmlin1998/RUN,Official,Synthetic; Sock Shop,AAAI 2024
2023,EasyRCA,Root Cause Identification for Collective Anomalies in Time Series given an Acyclic Summary Causal Graph with Loops,AISTATS,Collective anomaly root-cause identification,"Causal graph, anomaly timing, d-separation, and direct-effect changes",https://arxiv.org/abs/2303.04038,https://github.com/ckassaad/EasyRCA,Official,Synthetic and real-world time series,Python package
2023,PyRCA,PyRCA: A Library for Metric-based Root Cause Analysis,arXiv / open-source library,"Causal discovery, anomaly detection, and root-cause scoring",Unified causal-graph construction and graph-based RCA methods,https://arxiv.org/abs/2306.11417,https://github.com/salesforce/PyRCA,Official,Metric time series and simulated data,Library containing multiple methods
2022,CIRCA,Causal Inference-Based Root Cause Analysis for Online Service Systems with Intervention Recognition,KDD,Root-cause analysis for service metric time series,Recognizes interventions through changes in conditional mechanisms,https://arxiv.org/abs/2206.05871,https://github.com/NetManAIOps/CIRCA,Official,Simulation and online-service metrics,KDD 2022
2025,causRCA,causRCA Dataset and Benchmarking Framework,Dataset and benchmark,Causal discovery and industrial root-cause analysis,Ground-truth causal structures and fault scenarios,,https://github.com/causalgraph/causRCA,Official resource,Industrial vertical-lathe time series,Resource entry; add linked paper metadata when confirmed
2026,CAAD,CAAD: Causality-Aware Multivariate Time Series Anomaly Detection via Multi-Scale Alignment and Structural Causal Consistency,arXiv,Multivariate time-series anomaly detection,Continuous verification of Granger-causal consistency,https://arxiv.org/abs/2607.08555,,No official code located,Industrial datasets,Check periodically for an author repository
2025,GCAD,GCAD: Anomaly Detection in Multivariate Time Series from the Perspective of Granger Causality,arXiv,Multivariate time-series anomaly detection,Dynamic gradient-based Granger-causality discovery,https://arxiv.org/abs/2501.13493,,No official code located,Public MTS benchmarks,Do not confuse with CGAD
2025,OracleAD,Structured Temporal Causality for Interpretable Multivariate Time-Series Anomaly Detection,arXiv,Interpretable multivariate time-series anomaly detection,Structured temporal causal modeling,https://arxiv.org/abs/2510.16511,,No official code located,Public MTS benchmarks,Check periodically for code
2023,CausalAD,A Causal Approach to Detecting Multivariate Time-Series Anomalies and Root Causes,ICLR,Anomaly detection and root-cause localization,Detects violations of local causal mechanisms,https://arxiv.org/abs/2206.15033,,No official standalone code located,Synthetic; public; AIOps case study,Related functionality may overlap with later RCA libraries
